State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price
Himachal Pradesh,Kangra,Palampur,Banana,Banana - Ripe,Medium,07/27/2023,3500,4000,3750
Kerala,Alappuzha,Harippad,Banana,Nendra Bale,Medium,07/27/2023,5000,5500,5000
Uttrakhand,Dehradoon,Vikasnagar,Banana,Other,Medium,07/27/2023,1000,1500,1500
Bihar,Kishanganj,Bahadurganj,Banana,Amruthapani,Medium,07/28/2023,2400,2600,2500
Chattisgarh,Bilaspur,Tiphra,Banana,Banana - Ripe,Large,07/28/2023,3000,3300,3200
Chattisgarh,Rajnandgaon,Rajnandgaon,Banana,Banana - Ripe,Medium,07/28/2023,3000,6000,4500
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Banana,Other,Medium,07/28/2023,2750,3400,3075
Gujarat,Porbandar,Porbandar,Banana,Amruthapani,Large,07/28/2023,2000,2500,2250
Gujarat,Rajkot,Gondal(Veg.market Gondal),Banana,Banana - Ripe,Medium,07/28/2023,2000,2600,2300
Haryana,Ambala,Barara,Banana,Other,Medium,07/28/2023,2200,2300,2200
Haryana,Fatehabad,Jakhal,Banana,Other,Medium,07/28/2023,3500,3500,3500
Haryana,Gurgaon,Pataudi,Banana,Other,Large,07/28/2023,4200,4500,4400
Haryana,Hissar,Barwala(Hisar),Banana,Other,Medium,07/28/2023,1400,1500,1500
Haryana,Jind,Narwana,Banana,Other,Medium,07/28/2023,1600,1600,1600
Haryana,Kurukshetra,Ladwa,Banana,Other,Medium,07/28/2023,2500,3000,2750
Haryana,Kurukshetra,Shahabad,Banana,Banana - Ripe,Medium,07/28/2023,2500,3190,2700
Haryana,Mahendragarh-Narnaul,Mohindergarh,Banana,Banana - Ripe,Medium,07/28/2023,1500,2000,1750
Haryana,Mahendragarh-Narnaul,Narnaul,Banana,Other,Medium,07/28/2023,1500,2500,2500
Haryana,Palwal,Hassanpur,Banana,Other,Medium,07/28/2023,800,800,800
Haryana,Panchkula,"New Grain Market , Panchkula",Banana,Other,Large,07/28/2023,5000,7000,6000
Haryana,Rewari,Kosli,Banana,Other,Medium,07/28/2023,1800,1800,1800
Haryana,Rewari,Rewari,Banana,Other,Medium,07/28/2023,1100,3200,2200
Haryana,Sirsa,Sirsa,Banana,Other,Medium,07/28/2023,1800,1800,1800
Haryana,Sonipat,Ganaur,Banana,Banana - Ripe,Medium,07/28/2023,3000,4000,3500
Haryana,Sonipat,Sonepat(Kharkhoda),Banana,Other,Medium,07/28/2023,2200,2200,2200
Haryana,Yamuna Nagar,Radaur,Banana,Other,Medium,07/28/2023,2500,3500,3000
Himachal Pradesh,Chamba,Chamba,Banana,Other,Medium,07/28/2023,4500,5000,4750
Himachal Pradesh,Hamirpur,Hamirpur,Banana,Other,Medium,07/28/2023,3000,3200,3100
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Banana,Other,Medium,07/28/2023,3000,3200,3100
Himachal Pradesh,Kangra,Kangra,Banana,Other,Medium,07/28/2023,4000,4500,4250
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Banana,Banana - Ripe,Medium,07/28/2023,3600,4200,3900
Himachal Pradesh,Kangra,Palampur,Banana,Banana - Ripe,Medium,07/28/2023,3500,4000,3750
Himachal Pradesh,Kullu,Bhuntar,Banana,Other,Medium,07/28/2023,2880,3000,2940
Himachal Pradesh,Kullu,Kullu,Banana,Other,Medium,07/28/2023,3000,3200,3100
Himachal Pradesh,Mandi,Mandi(Mandi),Banana,Banana - Ripe,Medium,07/28/2023,3000,5500,5000
Himachal Pradesh,Sirmore,Nahan,Banana,Other,Medium,07/28/2023,2000,3500,2800
Himachal Pradesh,Solan,Solan,Banana,Other,Medium,07/28/2023,2100,3300,2700
Jammu and Kashmir,Anantnag,Ashahipora (Anantnagh),Banana,Other,Large,07/28/2023,4200,4400,4300
Jammu and Kashmir,Srinagar,Parimpore,Banana,Other,Large,07/28/2023,4000,4300,4200
Karnataka,Bangalore,Channapatana,Banana,Elakki Bale,FAQ,07/28/2023,4000,6500,5700
Kerala,Alappuzha,Harippad,Banana,Nendra Bale,Medium,07/28/2023,5000,5500,5000
Kerala,Kollam,Anchal,Banana,Nendra Bale,Medium,07/28/2023,8500,8700,8600
Kerala,Kollam,Anchal,Banana,Palayamthodan,Medium,07/28/2023,3600,3800,3700
Kerala,Kollam,Anchal,Banana,Poovan,Medium,07/28/2023,7200,7400,7300
Kerala,Kollam,Anchal,Banana,Red Banana,Medium,07/28/2023,5600,5800,5700
Kerala,Kollam,Anchal,Banana,Robusta,Medium,07/28/2023,3200,3400,3300
Kerala,Kollam,Sasthamkotta,Banana,Nendra Bale,Medium,07/28/2023,8000,8500,8200
Kerala,Kollam,Sasthamkotta,Banana,Palayamthodan,Medium,07/28/2023,2300,2800,2500
Kerala,Kollam,Sasthamkotta,Banana,Poovan,Medium,07/28/2023,6000,6500,6200
Kerala,Kollam,Sasthamkotta,Banana,Red Banana,Medium,07/28/2023,6000,6500,6200
Kerala,Kollam,Sasthamkotta,Banana,Robusta,Medium,07/28/2023,3000,3500,3200
Kerala,Kottayam,Kottayam,Banana,Banana - Ripe,Medium,07/28/2023,5800,6200,6000
Kerala,Kottayam,Kottayam,Banana,Palayamthodan,Medium,07/28/2023,2000,2400,2200
Kerala,Kottayam,Kottayam,Banana,Poovan,Medium,07/28/2023,6300,6700,6500
Kerala,Kottayam,Kuruppanthura,Banana,Palayamthodan,Medium,07/28/2023,900,2000,1400
Kerala,Kottayam,Kuruppanthura,Banana,Poovan,Medium,07/28/2023,5400,6500,6000
Kerala,Kottayam,Kuruppanthura,Banana,Robusta,Medium,07/28/2023,2000,3000,2500
Kerala,Kozhikode(Calicut),Kallachi,Banana,Nendra Bale,Medium,07/28/2023,5000,5400,5200
Kerala,Kozhikode(Calicut),Kallachi,Banana,Palayamthodan,Medium,07/28/2023,2800,3200,3000
Kerala,Kozhikode(Calicut),Kallachi,Banana,Rasakathai,Medium,07/28/2023,5300,5700,5500
Kerala,Palakad,Pattambi,Banana,Nendra Bale,Medium,07/28/2023,5000,5500,5200
Kerala,Palakad,Pattambi,Banana,Palayamthodan,Medium,07/28/2023,3000,3500,3200
Kerala,Thirssur,Mattathur,Banana,Nendra Bale,Medium,07/28/2023,3800,4300,4000
Kerala,Thirssur,Mattathur,Banana,Palayamthodan,Medium,07/28/2023,1500,2000,1800
Kerala,Thirssur,Mattathur,Banana,Robusta,Medium,07/28/2023,1500,2000,1800
Maharashtra,Pune,Pune,Banana,Other,FAQ,07/28/2023,800,1200,1000
Maharashtra,Pune,Pune(Moshi),Banana,Other,FAQ,07/28/2023,2000,5000,3500
Meghalaya,East Khasi Hills,Shillong,Banana,Banana - Ripe,Large,07/28/2023,2000,4500,3900
Meghalaya,West Garo Hills,Tura,Banana,Champa,Medium,07/28/2023,4000,4200,4100
Nagaland,Mokokchung,Tuli,Banana,Other,Medium,07/28/2023,10000,10200,10100
Punjab,Bhatinda,Bathinda,Banana,Other,Large,07/28/2023,1500,1550,1500
Punjab,Bhatinda,Bhagta Bhai Ka,Banana,Other,Medium,07/28/2023,3500,3500,3500
Punjab,Fatehgarh,Bassi Pathana,Banana,Medium,Medium,07/28/2023,3000,3000,3000
Punjab,Fazilka,Fazilka,Banana,Other,Medium,07/28/2023,2800,3000,2900
Punjab,Fazilka,Jalalabad,Banana,Other,Large,07/28/2023,2400,2600,2500
Punjab,Ferozpur,Mamdot,Banana,Other,Medium,07/28/2023,2400,2600,2500
Punjab,Hoshiarpur,Garh Shankar,Banana,Medium,Medium,07/28/2023,1500,1800,1700
Punjab,Hoshiarpur,Mukerian(Talwara),Banana,Other,Medium,07/28/2023,2000,2600,2300
Punjab,Ropar (Rupnagar),Morinda,Banana,Medium,Medium,07/28/2023,3000,3500,3200
Punjab,Ropar (Rupnagar),Ropar,Banana,Other,Medium,07/28/2023,1600,1900,1800
Punjab,Sangrur,Bhawanigarh,Banana,Other,Medium,07/28/2023,2000,2500,2250
Punjab,Tarntaran,Patti,Banana,Other,Medium,07/28/2023,2500,3000,2800
Rajasthan,Bikaner,Bikaner(F&V),Banana,Other,Medium,07/28/2023,2100,2300,2200
Rajasthan,Jaipur,Jaipur(F&V),Banana,Other,Medium,07/28/2023,2500,3000,2750
Rajasthan,Jalore,Jalore,Banana,Banana - Ripe,Medium,07/28/2023,2600,2800,2700
Rajasthan,Kota,Kota (FV),Banana,Other,Large,07/28/2023,1500,2500,2000
Tamil Nadu,Theni,Chinnamanur,Banana,Poovan,Medium,07/28/2023,2200,2800,2600
Tamil Nadu,Theni,Chinnamanur,Banana,Red Banana,Medium,07/28/2023,4400,4800,4600
Tripura,Sepahijala,Bishramganj,Banana,Champa,Medium,07/28/2023,2000,2500,2500
Tripura,Sepahijala,Melaghar,Banana,Banana - Ripe,Medium,07/28/2023,1800,2300,2000
Uttar Pradesh,Agra,Achnera,Banana,Banana - Ripe,Medium,07/28/2023,2270,2330,2300
Uttar Pradesh,Aligarh,Aligarh,Banana,Banana - Ripe,Medium,07/28/2023,2250,2350,2300
Uttar Pradesh,Aligarh,Charra,Banana,Banana - Ripe,Medium,07/28/2023,2300,2400,2350
Uttar Pradesh,Allahabad,Allahabad,Banana,Banana - Ripe,Medium,07/28/2023,2680,2800,2700
Uttar Pradesh,Allahabad,Jasra,Banana,Banana - Ripe,Medium,07/28/2023,2510,2680,2600
Uttar Pradesh,Auraiya,Auraiya,Banana,Banana - Ripe,Medium,07/28/2023,2350,2750,2550
Uttar Pradesh,Badaun,Shahaswan,Banana,Amruthapani,Medium,07/28/2023,1900,2200,2000
Uttar Pradesh,Ballia,Ballia,Banana,Medium,Medium,07/28/2023,3100,3160,3130
Uttar Pradesh,Ballia,Rasda,Banana,Banana - Ripe,Medium,07/28/2023,3150,3300,3220
Uttar Pradesh,Ballia,Vilthararoad,Banana,Medium,Medium,07/28/2023,1700,1800,1750
Uttar Pradesh,Balrampur,Utraula,Banana,Banana - Ripe,Medium,07/28/2023,1620,1800,1750
Uttar Pradesh,Banda,Baberu,Banana,Banana - Ripe,Medium,07/28/2023,1950,2150,2050
Uttar Pradesh,Barabanki,Safdarganj,Banana,Banana - Ripe,Medium,07/28/2023,3300,3400,3350
Uttar Pradesh,Bareilly,Bareilly,Banana,Banana - Ripe,Medium,07/28/2023,2750,2850,2800
Uttar Pradesh,Bulandshahar,Sikanderabad,Banana,Banana - Ripe,Medium,07/28/2023,1000,1200,1100
Uttar Pradesh,Etah,Kasganj,Banana,Banana - Ripe,Large,07/28/2023,1920,2300,2100
Uttar Pradesh,Etawah,Bharthna,Banana,Banana - Ripe,Medium,07/28/2023,2500,2900,2700
Uttar Pradesh,Faizabad,Faizabad,Banana,Banana - Ripe,Medium,07/28/2023,2600,2700,2690
Uttar Pradesh,Farukhabad,Farukhabad,Banana,Banana - Ripe,Medium,07/28/2023,2400,2600,2550
Uttar Pradesh,Farukhabad,Kayamganj,Banana,Banana - Ripe,Medium,07/28/2023,2530,2700,2620
Uttar Pradesh,Farukhabad,Mohamadabad,Banana,Banana - Ripe,Medium,07/28/2023,2450,2650,2550
Uttar Pradesh,Fatehpur,Bindki,Banana,Banana - Ripe,Medium,07/28/2023,2500,2600,2570
Uttar Pradesh,Fatehpur,Fatehpur,Banana,Banana - Ripe,Medium,07/28/2023,2450,2630,2560
Uttar Pradesh,Firozabad,Firozabad,Banana,Banana - Ripe,Medium,07/28/2023,2300,2460,2400
Uttar Pradesh,Hathras,Haathras,Banana,Banana - Ripe,Medium,07/28/2023,2100,2350,2280
Uttar Pradesh,Jalaun (Orai),Jalaun,Banana,Banana - Ripe,Medium,07/28/2023,1750,2000,1800
Uttar Pradesh,Jalaun (Orai),Orai,Banana,Banana - Ripe,Medium,07/28/2023,2100,2200,2150
Uttar Pradesh,Jaunpur,Jaunpur,Banana,Banana - Ripe,Medium,07/28/2023,3200,3260,3230
Uttar Pradesh,Jaunpur,Shahganj,Banana,Other,Medium,07/28/2023,2700,2900,2800
Uttar Pradesh,Jhansi,Mauranipur,Banana,Banana - Ripe,Medium,07/28/2023,2100,2500,2300
Uttar Pradesh,Kannuj,Kannauj,Banana,Banana - Ripe,Medium,07/28/2023,2500,2600,2550
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj,Banana,Banana - Ripe,Medium,07/28/2023,2600,2660,2635
Uttar Pradesh,Khiri (Lakhimpur),Mohammdi,Banana,Amruthapani,Medium,07/28/2023,2620,2720,2670
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,Banana,Amruthapani,Large,07/28/2023,2350,2350,2350
Uttar Pradesh,Lakhimpur,Lakhimpur,Banana,Banana - Ripe,Medium,07/28/2023,2630,2720,2675
Uttar Pradesh,Lucknow,Lucknow,Banana,Banana - Ripe,Medium,07/28/2023,2720,2800,2760
Uttar Pradesh,Mahoba,Mahoba,Banana,Banana - Ripe,Medium,07/28/2023,2000,2120,2070
Uttar Pradesh,Mainpuri,Ghiraur,Banana,Banana - Ripe,Medium,07/28/2023,2240,2440,2340
Uttar Pradesh,Mainpuri,Mainpuri,Banana,Banana - Ripe,Medium,07/28/2023,2215,2410,2320
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj,Banana,Medium,Medium,07/28/2023,1100,1200,1150
Uttar Pradesh,Muzaffarnagar,Khatauli,Banana,Banana - Ripe,Medium,07/28/2023,1900,2200,2000
Uttar Pradesh,Pillibhit,Vishalpur,Banana,Banana - Ripe,Medium,07/28/2023,2800,2885,2840
Uttar Pradesh,Raebarelli,Jayas,Banana,Banana - Ripe,Medium,07/28/2023,2600,2700,2660
Uttar Pradesh,Rampur,Rampur,Banana,Desi(Bontha),Medium,07/28/2023,2800,2900,2860
Uttar Pradesh,Sitapur,Sitapur,Banana,Banana - Ripe,Medium,07/28/2023,2500,2800,2700
Uttar Pradesh,Sitapur,Viswan,Banana,Besrai,Medium,07/28/2023,2715,2755,2735
Uttar Pradesh,Sultanpur,Jafarganj,Banana,Banana - Ripe,Medium,07/28/2023,3300,3400,3360
Uttar Pradesh,Unnao,Purwa,Banana,Banana - Ripe,Medium,07/28/2023,2685,2785,2735
Uttrakhand,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Banana,Other,Medium,07/28/2023,700,800,750
Uttrakhand,Haridwar,Haridwar Union,Banana,Other,Medium,07/28/2023,1000,1500,1200
Uttrakhand,Haridwar,Lakshar,Banana,Other,Medium,07/28/2023,900,1000,950
Uttrakhand,Haridwar,Manglaur,Banana,Other,Large,07/28/2023,1000,1100,1000
Uttrakhand,Haridwar,Roorkee,Banana,Other,Medium,07/28/2023,500,700,600
Uttrakhand,Nanital,Ramnagar,Banana,Other,Medium,07/28/2023,2500,3000,2750
Uttrakhand,UdhamSinghNagar,Khateema,Banana,Other,Medium,07/28/2023,1000,1500,1250
West Bengal,Darjeeling,Siliguri,Banana,Other,Large,07/28/2023,2200,2300,2250
Bihar,Kishanganj,Bahadurganj,Banana,Amruthapani,Medium,07/29/2023,2300,2500,2400
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Banana,Other,Medium,07/29/2023,2950,3350,3150
Gujarat,Navsari,Navsari,Banana,Amruthapani,Medium,07/29/2023,1250,2000,1625
Gujarat,Porbandar,Porbandar,Banana,Amruthapani,Large,07/29/2023,2000,2500,2250
Gujarat,Rajkot,Gondal(Veg.market Gondal),Banana,Banana - Ripe,Medium,07/29/2023,2000,2500,2250
Haryana,Ambala,Ambala Cantt.,Banana,Other,Medium,07/29/2023,1800,2200,2000
Haryana,Fatehabad,Ratia,Banana,Other,Large,07/29/2023,2200,2800,2500
Haryana,Gurgaon,Pataudi,Banana,Other,Large,07/29/2023,3500,4200,3800
Haryana,Hissar,Barwala(Hisar),Banana,Other,Medium,07/29/2023,1300,1500,1450
Haryana,Kaithal,Dhand,Banana,Other,Medium,07/29/2023,2400,4000,3800
Haryana,Karnal,"New Grain Market(main), Karnal",Banana,Other,Large,07/29/2023,1500,2500,2000
Haryana,Karnal,Tarori,Banana,Other,Medium,07/29/2023,1800,2200,2000
Haryana,Kurukshetra,Ladwa,Banana,Other,Medium,07/29/2023,2500,3000,2750
Haryana,Kurukshetra,Shahabad,Banana,Banana - Ripe,Medium,07/29/2023,2500,2980,2700
Haryana,Mahendragarh-Narnaul,Mohindergarh,Banana,Banana - Ripe,Medium,07/29/2023,1500,2000,1750
Haryana,Mahendragarh-Narnaul,Narnaul,Banana,Other,Medium,07/29/2023,2500,2500,2500
Haryana,Panchkula,"New Grain Market , Panchkula",Banana,Other,Large,07/29/2023,5000,7000,6000
Haryana,Rewari,Kosli,Banana,Other,Medium,07/29/2023,1800,1800,1800
Haryana,Rewari,Rewari,Banana,Other,Medium,07/29/2023,1200,3000,2200
Haryana,Rohtak,Meham,Banana,Other,Medium,07/29/2023,1700,1700,1700
Haryana,Sonipat,Ganaur,Banana,Banana - Ripe,Medium,07/29/2023,3000,4000,3500
Haryana,Yamuna Nagar,Jagadhri,Banana,Other,Medium,07/29/2023,1100,2000,1800
Haryana,Yamuna Nagar,Radaur,Banana,Other,Medium,07/29/2023,2200,3000,2500
Himachal Pradesh,Solan,Solan,Banana,Other,Medium,07/29/2023,2100,3300,2700
Kerala,Alappuzha,Aroor,Banana,Nendra Bale,Medium,07/29/2023,4900,5100,5000
Kerala,Alappuzha,Aroor,Banana,Palayamthodan,Medium,07/29/2023,3000,3200,3100
Kerala,Alappuzha,Aroor,Banana,Robusta,Medium,07/29/2023,2500,2700,2600
Kerala,Alappuzha,Harippad,Banana,Nendra Bale,Medium,07/29/2023,5000,5500,5000
Kerala,Alappuzha,Kayamkulam,Banana,Nendra Bale,Large,07/29/2023,4900,5100,5000
Kerala,Alappuzha,Kayamkulam,Banana,Other,Small,07/29/2023,2100,2300,2200
Kerala,Ernakulam,Angamaly,Banana,Palayamthodan,Medium,07/29/2023,2500,3100,2800
Kerala,Ernakulam,Angamaly,Banana,Poovan,Medium,07/29/2023,6700,7300,7000
Kerala,Ernakulam,Kothamangalam,Banana,Palayamthodan,Medium,07/29/2023,2500,2800,2700
Kerala,Ernakulam,Kothamangalam,Banana,Poovan,Medium,07/29/2023,4000,4500,4200
Kerala,Ernakulam,Perumbavoor,Banana,Palayamthodan,Medium,07/29/2023,2000,3000,2500
Kerala,Ernakulam,Thrippunithura,Banana,Palayamthodan,Medium,07/29/2023,3000,4000,3200
Kerala,Ernakulam,Thrippunithura,Banana,Poovan,Medium,07/29/2023,7400,8500,7600
Kerala,Idukki,Thodupuzha,Banana,Nendra Bale,Medium,07/29/2023,4000,4200,4200
Kerala,Idukki,Thodupuzha,Banana,Other,Medium,07/29/2023,6600,6800,6800
Kerala,Idukki,Thodupuzha,Banana,Palayamthodan,Medium,07/29/2023,1800,2000,2000
Kerala,Idukki,Thodupuzha,Banana,Poovan,Medium,07/29/2023,2400,2500,2500
Kerala,Idukki,Thodupuzha,Banana,Robusta,Medium,07/29/2023,2000,2200,2200
Kerala,Idukki,Vandiperiyar,Banana,Palayamthodan,Medium,07/29/2023,1848,1848,1848
Kerala,Kannur,Irikkur,Banana,Other,Medium,07/29/2023,5000,5000,5000
Kerala,Kannur,Payyannur,Banana,Other,Small,07/29/2023,4400,4600,4500
Kerala,Kannur,Payyannur,Banana,Other,Large,07/29/2023,3800,4000,3900
Kerala,Kannur,Payyannur,Banana,Other,Medium,07/29/2023,4100,4300,4200
Kerala,Kasargod,Kanjangadu,Banana,Other,Large,07/29/2023,5800,6600,6000
Kerala,Kasargod,Kanjangadu,Banana,Other,Small,07/29/2023,5600,6200,5800
Kerala,Kasargod,Neeleswaram,Banana,Other,Large,07/29/2023,6400,6600,6500
Kerala,Kollam,Chathanoor,Banana,Banana - Ripe,Medium,07/29/2023,5800,6200,6000
Kerala,Kollam,Chathanoor,Banana,Palayamthodan,Medium,07/29/2023,3800,4200,4000
Kerala,Kollam,Chathanoor,Banana,Poovan,Medium,07/29/2023,5400,5800,5600
Kerala,Kollam,Chathanoor,Banana,Red Banana,Medium,07/29/2023,6800,7200,7000
Kerala,Kollam,Chathanoor,Banana,Robusta,Medium,07/29/2023,3800,4200,4000
Kerala,Kozhikode(Calicut),Kallachi,Banana,Nendra Bale,Medium,07/29/2023,5000,5500,5200
Kerala,Kozhikode(Calicut),Kallachi,Banana,Palayamthodan,Medium,07/29/2023,2800,3200,3000
Kerala,Kozhikode(Calicut),Kallachi,Banana,Rasakathai,Medium,07/29/2023,5300,5700,5500
Kerala,Malappuram,Manjeri,Banana,Other,Large,07/29/2023,5000,5100,5050
Kerala,Pathanamthitta,Kuttoor,Banana,Nendra Bale,Large,07/29/2023,5600,6000,5800
Kerala,Pathanamthitta,Kuttoor,Banana,Palayamthodan,Large,07/29/2023,1600,2000,1800
Kerala,Thirssur,Mattathur,Banana,Nendra Bale,Medium,07/29/2023,4000,4500,4200
Kerala,Thirssur,Mattathur,Banana,Palayamthodan,Medium,07/29/2023,1500,2000,1800
Kerala,Thirssur,Mattathur,Banana,Robusta,Medium,07/29/2023,1500,2000,1800
Kerala,Thirssur,Thrissur,Banana,Banana - Ripe,Medium,07/29/2023,5000,5500,5000
Kerala,Thirssur,Thrissur,Banana,Palayamthodan,Large,07/29/2023,2800,3000,2800
Kerala,Thirssur,Thrissur,Banana,Robusta,Medium,07/29/2023,2500,2600,2500
Kerala,Thiruvananthapuram,Anyara(EEC),Banana,Banana - Ripe,Medium,07/29/2023,5000,5200,5100
Kerala,Thiruvananthapuram,Anyara(EEC),Banana,Palayamthodan,Medium,07/29/2023,2000,2200,2100
Kerala,Thiruvananthapuram,Anyara(EEC),Banana,Rasakathai,Medium,07/29/2023,6000,6500,6200
Kerala,Thiruvananthapuram,Anyara(EEC),Banana,Robusta,Medium,07/29/2023,2700,2900,2800
Kerala,Thiruvananthapuram,Maranelloor,Banana,Nendra Bale,Large,07/29/2023,4000,4500,4200
Kerala,Thiruvananthapuram,Maranelloor,Banana,Nendra Bale,Medium,07/29/2023,3500,3900,3800
Kerala,Thiruvananthapuram,Maranelloor,Banana,Nendra Bale,Small,07/29/2023,2500,3000,2800
Kerala,Thiruvananthapuram,Maranelloor,Banana,Palayamthodan,Large,07/29/2023,2300,2500,2400
Kerala,Thiruvananthapuram,Maranelloor,Banana,Palayamthodan,Medium,07/29/2023,2000,2200,2100
Kerala,Thiruvananthapuram,Maranelloor,Banana,Palayamthodan,Small,07/29/2023,1700,1900,1800
Kerala,Thiruvananthapuram,Maranelloor,Banana,Poovan,Large,07/29/2023,6000,6500,6400
Kerala,Thiruvananthapuram,Maranelloor,Banana,Poovan,Medium,07/29/2023,4000,5500,4500
Kerala,Thiruvananthapuram,Maranelloor,Banana,Poovan,Small,07/29/2023,3000,3800,3500
Kerala,Thiruvananthapuram,Maranelloor,Banana,Red Banana,Large,07/29/2023,5000,5200,5100
Kerala,Thiruvananthapuram,Maranelloor,Banana,Red Banana,Medium,07/29/2023,4000,4800,4500
Kerala,Thiruvananthapuram,Maranelloor,Banana,Red Banana,Small,07/29/2023,3000,3800,3500
Kerala,Thiruvananthapuram,Maranelloor,Banana,Robusta,Large,07/29/2023,2500,2700,2600
Kerala,Thiruvananthapuram,Maranelloor,Banana,Robusta,Medium,07/29/2023,2100,2300,2200
Kerala,Thiruvananthapuram,Maranelloor,Banana,Robusta,Small,07/29/2023,1800,2000,1900
Kerala,Wayanad,Pulpally,Banana,Other,Medium,07/29/2023,2800,3000,2900
Madhya Pradesh,Dhar,Dhar(F&V),Banana,Other,Medium,07/29/2023,2000,4000,3500
Maharashtra,Jalgaon,Yawal,Banana,Other,FAQ,07/29/2023,1650,1850,1750
Maharashtra,Nashik,Nasik,Banana,Khandesh,FAQ,07/29/2023,450,1050,750
Maharashtra,Pune,Pune(Moshi),Banana,Other,FAQ,07/29/2023,2000,5000,3500
Nagaland,Longleng,Longleng,Banana,Banana - Ripe,Medium,07/29/2023,8300,8600,8400
Nagaland,Tuensang,Tuensang,Banana,Other,Medium,07/29/2023,8100,8400,8200
Nagaland,Wokha,Wokha Town,Banana,Other,Medium,07/29/2023,4500,5000,4800
Punjab,Bhatinda,Bathinda,Banana,Other,Large,07/29/2023,1450,1550,1500
Punjab,Bhatinda,Raman,Banana,Other,Medium,07/29/2023,2360,2670,2450
Punjab,Bhatinda,Talwandi Sabo,Banana,Other,Medium,07/29/2023,2100,2600,2300
Punjab,Fazilka,Jalalabad,Banana,Other,Large,07/29/2023,2500,2650,2600
Punjab,Ropar (Rupnagar),Morinda,Banana,Medium,Medium,07/29/2023,3000,3500,3200
Rajasthan,Jalore,Jalore,Banana,Banana - Ripe,Medium,07/29/2023,2600,2800,2700
Uttar Pradesh,Aligarh,Charra,Banana,Banana - Ripe,Medium,07/29/2023,2300,2400,2350
Uttar Pradesh,Allahabad,Jasra,Banana,Banana - Ripe,Medium,07/29/2023,2550,2685,2620
Uttar Pradesh,Auraiya,Achalda,Banana,Banana - Ripe,Medium,07/29/2023,2400,2560,2500
Uttar Pradesh,Barabanki,Barabanki,Banana,Banana - Ripe,Medium,07/29/2023,3300,3400,3350
Uttar Pradesh,Barabanki,Safdarganj,Banana,Banana - Ripe,Medium,07/29/2023,3300,3400,3350
